Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Başlangıç Tarihi,Bitiş Tarihi,kod,renk,model,100cm,100cm camlı,90cm,90cm camlı,yavru kanat kapalı,yavru kanat açık,kasa,pervaz
,2024-01-01 00:00:00,2024-01-05 00:00:00,100,italyan ceviz,yavru kanat,,,,,3,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,110,italyan ceviz,madra,1,,,1,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,120,italyan ceviz,baklava,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,130,italyan ceviz,karışık çizgi,4,,,1,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,160,italyan ceviz,iki göbek,47,5,12,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,200,koyu ceviz,yavru kanat,,,,,5,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,220,koyu ceviz,baklava,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,230,koyu ceviz,karışık çizgi,10,,4,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,260,koyu ceviz,iki göbek,2,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,300,gold ceviz,yavru kanat,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,310,gold ceviz,madra,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,320,gold ceviz,baklava,1,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,330,gold ceviz,karışık çizgi,9,1,1,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,360,gold ceviz,iki göbek,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,400,ABD ceviz,yavru kanat,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,410,ABD ceviz,madra,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,420,ABD ceviz,baklava,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,430,ABD ceviz,karışık çizgi,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,460,ABD ceviz,iki göbek,8,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,500,wenge,yavru kanat,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,520,wenge,baklava,9,1,3,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,530,wenge,karışık çizgi,3,1,2,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,560,wenge,iki göbek,8,,1,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,600,bute beyaz,yavru kanat,,,,,8,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,610,bute beyaz,madra,5,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,620,bute beyaz,baklava,,,1,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,630,bute beyaz,karışık çizgi,20,1,5,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,640,,,1,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,660,bute beyaz,iki göbek,88,6,24,7,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,700,küp akça,yavru kanat,,,,,5,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,720,küp akça,baklava,3,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,730,küp akça,karışık çizgi,21,,2,2,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,760,küp akça,iki göbek,15,4,3,1,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,800,ardahan gri,yavru kanat,,,,,1,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,810,ardahan gri,madra,20,,2,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,820,ardahan gri,baklava,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,830,ardahan gri,karışık çizgi,,1,3,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,840,,,1,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,860,ardahan gri,iki göbek,14,,3,3,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,900,pvc gri,yavru kanat,,,,,1,,2,
,2024-01-01 00:00:00,2024-01-05 00:00:00,920,pvc gri,baklava,,,,,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,930,pvc gri,karışık çizgi,8,,,2,,,,
,2024-01-01 00:00:00,2024-01-05 00:00:00,960,pvc gri,iki göbek,1,1,2,2,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,100,italyan ceviz,yavru kanat,,,,,4,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,110,italyan ceviz,madra,20,1,5,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,120,italyan ceviz,baklava,38,1,7,2,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,130,italyan ceviz,karışık çizgi,8,,2,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,140,,,2,,,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,160,italyan ceviz,iki göbek,40,3,7,1,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,200,koyu ceviz,yavru kanat,,,,,2,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,220,koyu ceviz,baklava,11,,3,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,230,koyu ceviz,karışık çizgi,27,,4,6,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,240,,,3,,,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,260,koyu ceviz,iki göbek,17,,,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,300,gold ceviz,yavru kanat,,,,,6,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,310,gold ceviz,madra,3,3,1,1,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,320,gold ceviz,baklava,5,,,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,330,gold ceviz,karışık çizgi,8,1,1,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,340,,,6,,,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,360,gold ceviz,iki göbek,44,,,1,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,400,ABD ceviz,yavru kanat,,,,,2,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,410,ABD ceviz,madra,1,,,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,420,ABD ceviz,baklava,9,1,1,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,430,ABD ceviz,karışık çizgi,11,,5,2,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,460,ABD ceviz,iki göbek,10,1,,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,500,wenge,yavru kanat,,,,,1,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,520,wenge,baklava,11,2,2,,,,,
,2024-01-05 00:00:00,2024-01-12 00:00:00,530,wenge,karışık çizgi,12,,6,,,,,
